evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,coverage,1.0,0.0,5,1.0000 ± 0.0000
temporal,current_measurement_missing,current_measurement_missing,1.0,coverage,1.0,0.0,5,1.0000 ± 0.0000
grouped,baseline,none,0.0,delta_auprc,0.0,0.0,5,0.0000 ± 0.0000
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_auprc,0.020099999999999996,0.06681433229480034,5,0.0201 ± 0.0668
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_auprc,-0.057440000000000005,0.09781693616138261,5,-0.0574 ± 0.0978
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_auprc,-0.11992,0.08605345431765074,5,-0.1199 ± 0.0861
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,delta_auprc,0.0017599999999999894,0.027069410780436287,5,0.0018 ± 0.0271
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,delta_auprc,-0.03438000000000001,0.03470874529567439,5,-0.0344 ± 0.0347
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,delta_auprc,-0.028760000000000008,0.0597249361657256,5,-0.0288 ± 0.0597
grouped,current_measurement_missing,current_measurement_missing,1.0,delta_auprc,-0.12702,0.09074972176265886,5,-0.1270 ± 0.0907
temporal,baseline,none,0.0,delta_auprc,0.0,0.0,5,0.0000 ± 0.0000
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,delta_auprc,-0.03402,0.024412844979641336,5,-0.0340 ± 0.0244
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,delta_auprc,-0.07139999999999999,0.03405091775562003,5,-0.0714 ± 0.0341
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,delta_auprc,-0.11159999999999999,0.03257698574147092,5,-0.1116 ± 0.0326
